benchmark_run,suite,type,total_errors,timeout,connection,other,cancelled
bench-local-dual-gemma4-2026-05-20_09-14-17,coding,user,0,0,0,0,2
bench-local-dual-gemma4-2026-05-20_09-14-17,coding,injection,0,0,0,0,1
bench-local-dual-gemma4-2026-05-20_09-14-17,coding,attack,0,0,0,0,8
bench-local-lamb-dynamic-ifc-gemma4-2026-05-20_00-57-08,coding,user,0,0,0,0,1
bench-local-lamb-dynamic-ifc-gemma4-2026-05-20_00-57-08,coding,injection,0,0,0,0,0
bench-local-lamb-dynamic-ifc-gemma4-2026-05-20_00-57-08,coding,attack,1,1,0,0,4
bench-local-lamb-no-ifc-gemma4-2026-05-20_00-36-59,coding,user,0,0,0,0,0
bench-local-lamb-no-ifc-gemma4-2026-05-20_00-36-59,coding,injection,0,0,0,0,0
bench-local-lamb-no-ifc-gemma4-2026-05-20_00-36-59,coding,attack,0,0,0,0,0
bench-local-lamb-static-ifc-gemma4-2026-05-20_04-03-01,coding,user,0,0,0,0,0
bench-local-lamb-static-ifc-gemma4-2026-05-20_04-03-01,coding,injection,0,0,0,0,1
bench-local-lamb-static-ifc-gemma4-2026-05-20_04-03-01,coding,attack,0,0,0,0,0
bench-local-single-gemma4-2026-05-20_10-02-02,coding,user,0,0,0,0,0
bench-local-single-gemma4-2026-05-20_10-02-02,coding,injection,0,0,0,0,0
bench-local-single-gemma4-2026-05-20_10-02-02,coding,attack,0,0,0,0,5
