benchmark_run,suite,type,total_errors,timeout,connection,other,cancelled
bench-local-dual-gemma4-2026-05-06_23-12-51,banking,user,0,0,0,0,3
bench-local-dual-gemma4-2026-05-06_23-12-51,banking,injection,0,0,0,0,0
bench-local-dual-gemma4-2026-05-06_23-12-51,banking,attack,0,0,0,0,13
bench-local-dual-gemma4-2026-05-06_23-12-51,slack,user,1,1,0,0,12
bench-local-dual-gemma4-2026-05-06_23-12-51,slack,injection,0,0,0,0,2
bench-local-dual-gemma4-2026-05-06_23-12-51,slack,attack,1,1,0,0,61
bench-local-dual-gemma4-2026-05-06_23-12-51,travel,user,7,7,0,0,9
bench-local-dual-gemma4-2026-05-06_23-12-51,travel,injection,2,2,0,0,0
bench-local-dual-gemma4-2026-05-06_23-12-51,travel,attack,65,65,0,0,60
bench-local-dual-gemma4-2026-05-06_23-12-51,workspace,user,0,0,0,0,4
bench-local-dual-gemma4-2026-05-06_23-12-51,workspace,injection,0,0,0,0,4
bench-local-dual-gemma4-2026-05-06_23-12-51,workspace,attack,0,0,0,0,87
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,banking,user,0,0,0,0,0
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,banking,injection,0,0,0,0,0
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,banking,attack,3,0,0,3,7
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,slack,user,0,0,0,0,10
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,slack,injection,0,0,0,0,3
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,slack,attack,14,2,12,0,38
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,travel,user,8,6,0,2,5
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,travel,injection,2,0,0,2,2
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,travel,attack,53,45,0,8,53
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,workspace,user,2,0,0,2,5
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,workspace,injection,12,1,0,11,0
bench-local-lamb-dynamic-ifc-gemma4-2026_05_05_17-12-59,workspace,attack,28,0,0,28,83
bench-local-lamb-no-ifc-gemma4-2026-05-09_15-56-23,banking,user,1,0,0,1,0
bench-local-lamb-no-ifc-gemma4-2026-05-09_15-56-23,banking,injection,0,0,0,0,0
bench-local-lamb-no-ifc-gemma4-2026-05-09_15-56-23,banking,attack,8,0,0,8,9
bench-local-lamb-no-ifc-gemma4-2026-05-09_15-56-23,slack,user,1,1,0,0,11
bench-local-lamb-no-ifc-gemma4-2026-05-09_15-56-23,slack,injection,1,1,0,0,1
