benchmark_run,suite,total_tasks,total_errors,total_timeout,total_connection,total_other,user_errors,user_timeout,user_connection,user_other,injection_errors,injection_timeout,injection_connection,injection_other,attack_errors,attack_timeout,attack_connection,attack_other,total_cancelled,user_cancelled,injection_cancelled,attack_cancelled
bench-dual-2026-03-20_13-44-20,banking,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,16
bench-dual-2026-03-20_13-44-20,slack,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,1,36
bench-dual-2026-03-20_13-44-20,travel,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,0,42
bench-dual-2026-03-20_13-44-20,workspace,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,11,0,56
bench-gpt-5-mini-dual-2026-03-22_08-14-59,workspace,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,14,0,40
bench-gpt-5-mini-lamb-no-ifc-2026-03-21_16-32-27,workspace,163,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,62,17,0,45
bench-lamb-no-ifc-2026-03-21_10-58-14,banking,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,5
bench-lamb-no-ifc-2026-03-21_10-58-14,slack,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,11,1,38
bench-lamb-no-ifc-2026-03-21_10-58-14,travel,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,16,0,42
bench-lamb-no-ifc-2026-03-21_10-58-14,workspace,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,16,0,45
bench-local-lamb-dynamic-ifc-2026-03-19_19-25-10,banking,169,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,13,1,0,12
bench-local-lamb-dynamic-ifc-2026-03-19_19-25-10,slack,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7,0,47
bench-local-lamb-dynamic-ifc-2026-03-19_19-25-10,travel,167,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,104,15,0,89
bench-local-lamb-dynamic-ifc-2026-03-19_19-25-10,workspace,614,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,157,9,4,144
bench-local-lamb-static-ifc-2026-03-20_14-17-39,banking,67,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7,2,0,5
bench-local-lamb-static-ifc-2026-03-20_14-17-39,slack,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,1,23
bench-local-lamb-static-ifc-2026-03-20_14-17-39,travel,83,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,53,13,0,40
bench-local-lamb-static-ifc-2026-03-20_14-17-39,workspace,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,10,0,38
bench-local-single-2026-03-21_16-57-46,banking,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
bench-local-single-2026-03-21_16-57-46,slack,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,20
bench-local-single-2026-03-21_16-57-46,travel,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3
bench-local-single-2026-03-21_16-57-46,workspace,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
